Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
1.42286	5	0	5	-105.035
1.46086	3	0	2	-77.4018
1.46486	5	0	8	-81.7021
1.47186	3	0	0	-107.712
1.47586	3	0	1	-98.109
1.47786	5	0	9	-99.5257
1.48186	1	0	4	-99.0553
1.49386	5	0	6	-98.1149
1.49686	1	0	3	-80.9336
1.50086	5	0	7	-70.8601
1.50286	5	0	5	-103.547
1.54086	3	0	2	-80.1555
1.54486	5	0	8	-82.7081
1.55186	3	0	0	-107.712
1.55586	3	0	1	-98.5336
1.55786	5	0	9	-99.5257
1.56186	1	0	4	-100.063
1.57386	5	0	6	-97.436
1.57686	1	0	3	-79.5964
1.58086	5	0	7	-72.4915
1.58286	5	0	5	-103.808
1.62086	3	0	2	-79.205
1.62486	5	0	8	-82.3931
1.63186	3	0	0	-107.712
1.63586	3	0	1	-100.902
1.63786	5	0	9	-99.5257
1.64186	1	0	4	-100.552
1.65386	5	0	6	-93.4461
1.65686	1	0	3	-80.2406
1.66086	5	0	7	-71.242
1.66286	5	0	5	-100.146
1.70086	3	0	2	-78.3345
1.70486	5	0	8	-81.6959
1.71186	3	0	0	-107.712
1.71586	3	0	1	-102.535
1.71786	5	0	9	-99.5257
1.72186	1	0	4	-102.817
1.73386	5	0	6	-95.1955
1.73686	1	0	3	-80.7672
1.74086	5	0	7	-71.1472
1.74286	5	0	5	-97.1536
1.78086	3	0	2	-78.0683
1.78486	5	0	8	-81.9967
1.79186	3	0	0	-107.712
1.79586	3	0	1	-99.8713
1.79786	5	0	9	-99.5257
1.80186	1	0	4	-103.484
1.81386	5	0	6	-95.365
1.81686	1	0	3	-82.1522
1.82086	5	0	7	-71.4569
1.82286	5	0	5	-97.9066
1.86086	3	0	2	-76.6413
1.86486	5	0	8	-81.0797
1.87186	3	0	0	-107.712
1.87586	3	0	1	-97.2032
1.87786	5	0	9	-99.5257
1.88186	1	0	4	-102.493
1.89386	5	0	6	-96.7363
1.89686	1	0	3	-82.7806
1.90086	5	0	7	-70.1319
1.90286	5	0	5	-95.2466
1.94086	3	0	2	-76.0743
1.94486	5	0	8	-82.1483
1.95186	3	0	0	-107.712
1.95586	3	0	1	-99.9226
1.95786	5	0	9	-99.5257
1.96186	1	0	4	-103.104
1.97386	5	0	6	-97.9036
1.97686	1	0	3	-81.5102
