time(s)	cellId	rnti	lcid	packetSize	delay(s)
2.07124	3	2	3	128	0.00224286
2.07724	3	2	3	255	0.00224286
2.07824	3	4	3	287	0.00224286
2.07924	3	4	3	191	0.00224286
2.08524	3	2	3	128	0.00224286
2.09124	3	2	3	191	0.00224286
2.09724	3	2	3	120	0.00224286
2.09824	3	4	3	287	0.00224286
2.10324	3	2	3	112	0.00224286
2.10424	3	4	3	215	0.00224286
2.10831	1	1	3	160	0.00731428
2.10924	3	2	3	56	0.00224286
2.11124	1	1	3	72	0.00724286
2.11524	3	2	3	56	0.00224286
2.11724	3	4	3	462	0.00224286
2.11824	3	4	3	72	0.00224286
2.12124	3	2	3	112	0.00224286
2.12724	3	2	3	56	0.00224286
2.13324	3	2	3	56	0.00224286
2.13924	3	2	3	112	0.00224286
2.14524	3	2	3	56	0.00224286
2.15124	1	1	3	72	0.00724286
2.15124	3	2	3	112	0.00224286
2.15724	3	2	3	56	0.00224286
2.15924	1	1	3	72	0.00724286
2.16324	3	2	3	56	0.00224286
2.16824	3	2	3	167	0.00224286
2.17224	1	1	3	72	0.00724286
2.17724	3	2	3	56	0.00224286
2.17824	1	1	3	72	0.00724286
2.18224	1	1	3	72	0.00924286
2.18324	3	2	3	167	0.00224286
2.19124	3	2	3	128	0.00224286
2.19724	3	2	3	191	0.00224286
2.20324	3	2	3	382	0.00224286
2.20424	1	2	3	64	0.00224286
2.20524	1	1	3	72	0.00724286
2.20724	1	1	3	72	0.00724286
2.20824	1	1	3	72	0.00724286
2.21124	3	2	3	56	0.00224286
2.21724	3	2	3	112	0.00224286
2.22324	3	2	3	112	0.00224286
2.23124	3	2	3	128	0.00224286
2.23524	1	2	3	120	0.00224286
2.23724	3	2	3	128	0.00224286
2.24224	1	1	3	72	0.00724286
2.24324	3	2	3	191	0.00224286
2.24424	1	1	3	72	0.00824286
2.24524	1	1	3	72	0.00724286
2.24824	3	2	3	128	0.00224286
2.25724	3	2	3	56	0.00224286
2.26024	1	2	3	64	0.00224286
2.26324	3	2	3	112	0.00224286
2.26524	1	2	3	56	0.00224286
2.27124	3	2	3	56	0.00224286
2.27724	3	2	3	56	0.00224286
2.27924	1	1	3	72	0.00824286
2.28324	1	1	3	72	0.0112429
2.28324	3	2	3	56	0.00224286
2.28331	1	2	3	56	0.00231428
2.28424	1	2	3	56	0.00224286
2.28924	3	2	3	112	0.00224286
2.29724	3	2	3	56	0.00224286
2.30324	3	2	3	56	0.00224286
2.30824	1	3	3	64	0.00224286
2.30831	1	2	3	167	0.00231428
2.30924	3	2	3	56	0.00224286
2.31524	3	2	3	112	0.00224286
2.32124	3	2	3	56	0.00224286
2.32824	3	2	3	56	0.00224286
2.33324	3	2	3	112	0.00224286
2.33624	1	3	3	120	0.00224286
2.33631	1	2	3	167	0.00231428
2.33724	1	2	3	56	0.00224286
2.33924	3	2	3	56	0.00224286
2.34124	1	1	3	111	0.00724286
2.34224	1	1	3	11	0.00724286
2.34524	3	2	3	112	0.00224286
2.35124	3	2	3	56	0.00224286
2.35724	3	2	3	56	0.00224286
2.36324	3	2	3	112	0.00224286
2.36924	3	2	3	56	0.00224286
2.37124	1	3	3	120	0.00224286
2.37224	1	2	3	167	0.00224286
2.37524	3	2	3	56	0.00224286
2.38124	3	2	3	167	0.00224286
2.38324	1	1	3	56	0.00924286
2.38924	3	2	3	56	0.00224286
2.39524	3	2	3	56	0.00224286
2.40124	3	2	3	167	0.00224286
2.40139	1	2	3	382	0.00238571
2.40724	3	2	3	112	0.00224286
2.41524	3	2	3	56	0.00224286
2.42124	3	2	3	167	0.00224286
2.42724	3	2	3	128	0.00224286
2.42824	1	3	3	112	0.0292429
2.42839	1	2	3	302	0.00238571
2.43324	1	1	3	111	0.00724286
2.43524	3	2	3	128	0.00224286
2.43624	1	1	3	3	0.00924286
2.44024	1	4	3	56	0.00224286
2.44124	3	2	3	382	0.00224286
2.44724	3	2	3	183	0.00224286
2.45124	1	3	3	167	0.00224286
2.45131	1	2	3	128	0.00231428
2.45324	3	2	3	128	0.00224286
2.45924	3	2	3	390	0.00224286
2.46524	3	2	3	207	0.00224286
2.47324	3	2	3	128	0.00224286
2.47824	1	4	3	56	0.00224286
2.47831	1	3	3	167	0.00231428
2.47839	1	2	3	318	0.00238571
2.47924	3	2	3	183	0.00224286
2.48524	1	1	3	56	0.00924286
2.48524	3	2	3	56	0.00224286
2.49124	3	2	3	112	0.00224286
2.49724	3	2	3	112	0.00224286
2.50424	3	2	3	56	0.00224286
2.50524	3	1	3	64	0.00224286
2.50924	1	1	3	111	0.0212429
2.50931	1	3	3	223	0.00231428
2.51024	1	2	3	112	0.00224286
2.51124	3	2	3	56	0.00224286
2.51224	1	4	3	56	0.00224286
2.51524	1	1	3	3	0.00724286
2.51624	3	2	3	56	0.00224286
2.52224	3	2	3	112	0.00224286
2.52524	3	1	3	120	0.00224286
2.52924	3	2	3	56	0.00224286
2.53624	3	2	3	56	0.00224286
2.54224	3	2	3	56	0.00224286
2.54524	3	1	3	120	0.00224286
2.54824	3	2	3	112	0.00224286
2.55624	1	1	3	56	0.0422429
2.55624	3	2	3	56	0.00224286
2.55631	1	4	3	56	0.00231428
2.55639	1	3	3	167	0.00238571
2.55646	1	2	3	112	0.00245714
2.55824	1	1	3	111	0.00224286
2.56224	1	4	3	56	0.00224286
