time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.45003	3	1	3	1454	0.0167857
1.45003	3	1	3	1454	0.0167857
1.45903	1	4	3	1454	0.0146429
1.46103	1	4	3	1454	0.0166429
1.46203	1	4	3	1454	0.0176429
1.46303	1	4	3	1454	0.0186429
1.46403	1	4	3	1454	0.0196429
1.46503	1	4	3	1454	0.0206429
1.46603	1	4	3	1454	0.0216429
1.47503	3	1	3	1454	0.0197857
1.47503	3	1	3	1454	0.0197857
1.47503	3	1	3	1454	0.0197857
1.47503	3	1	3	1454	0.0197857
1.47503	3	1	3	1454	0.0197857
1.47603	3	1	3	1454	0.0207857
1.47603	3	1	3	1454	0.0207857
1.49403	1	1	3	1454	0.114571
1.49403	1	1	3	1454	0.114571
1.49403	1	1	3	1454	0.114571
1.49403	1	1	3	1454	0.114571
1.49403	1	1	3	1454	0.113786
1.49403	1	1	3	1454	0.107786
1.49403	1	1	3	1454	0.0787857
1.49603	3	1	3	1454	0.0157857
1.49603	3	1	3	1454	0.0157857
1.49603	3	1	3	1454	0.0157857
1.49603	3	1	3	1454	0.0157857
1.49603	3	1	3	1454	0.0157857
1.49703	3	1	3	1454	0.0167857
1.49703	3	1	3	1454	0.0157857
1.50803	3	2	3	58	0.00802856
1.52103	3	1	3	1454	0.0147857
1.52103	3	1	3	1454	0.0147857
1.52103	3	1	3	1454	0.0147857
1.52103	3	1	3	1454	0.0147857
1.52103	3	1	3	1454	0.0147857
1.52196	3	1	3	1454	0.0157143
1.52196	3	1	3	1454	0.0157143
1.52203	3	2	3	54	0.00878571
1.52203	3	2	3	1454	0.00878571
1.52203	3	2	3	1454	0.00878571
1.52803	3	2	3	1454	0.0147857
1.52803	3	2	3	1454	0.0147857
1.52803	3	2	3	1454	0.0147857
1.52803	3	2	3	1454	0.0147857
1.52803	3	2	3	1454	0.0147857
1.53603	3	2	3	1454	0.00878571
1.53603	3	2	3	1454	0.00878571
1.53903	1	1	3	1454	0.0345
1.54103	1	1	3	1454	0.0365
1.54203	3	2	3	1454	0.00878571
1.54203	3	2	3	1454	0.00878571
1.54303	1	1	3	1454	0.0385
1.54803	3	2	3	1454	0.0147857
1.54803	3	2	3	1454	0.0147857
1.54803	3	2	3	1454	0.0147857
1.54803	3	2	3	1454	0.0147857
1.54803	3	2	3	1454	0.0147857
1.54803	3	2	3	1454	0.00678571
1.55403	3	2	3	1454	0.0127857
1.55403	3	2	3	1454	0.00678571
1.55403	3	2	3	1454	0.00678571
1.56003	3	2	3	1454	0.0127857
1.56003	3	2	3	1454	0.00678571
1.56603	3	2	3	1454	0.0127857
1.56603	3	2	3	1454	0.0127857
1.56603	3	2	3	1454	0.0127857
1.56603	3	2	3	1454	0.0127857
1.56603	3	2	3	1454	0.0127857
1.56603	3	2	3	1454	0.00678571
1.57203	3	2	3	1454	0.0127857
1.57203	3	2	3	1454	0.00678571
1.58003	3	2	3	1454	0.00878571
1.58003	3	2	3	1454	0.00878571
1.58603	3	2	3	1454	0.0147857
1.58603	3	2	3	1454	0.0147857
1.58603	3	2	3	1454	0.0147857
1.59203	3	2	3	1454	0.0147857
1.59203	3	2	3	1454	0.0147857
1.59203	3	2	3	1454	0.0147857
1.59203	3	2	3	1454	0.0147857
1.59203	3	2	3	1454	0.00678571
1.59203	3	2	3	1454	0.00678571
1.60003	3	2	3	1454	0.00878571
1.60003	3	2	3	1454	0.00878571
1.60603	3	2	3	1454	0.0147857
1.60603	3	2	3	1454	0.00878571
1.60603	3	2	3	1454	0.00878571
1.61203	3	2	3	1454	0.0147857
1.61203	3	2	3	1454	0.0147857
1.61203	3	2	3	1454	0.00678571
1.61803	3	2	3	1454	0.0127857
1.61803	3	2	3	1454	0.0127857
1.61803	3	2	3	1454	0.00678571
1.62203	3	3	3	1430	0.0145619
1.62403	3	2	3	1454	0.0127857
1.62403	3	2	3	1454	0.00678571
1.62803	3	3	3	1430	0.0130952
1.63003	3	2	3	1454	0.0127857
1.63003	3	2	3	1454	0.0127857
1.63003	3	2	3	1454	0.0127857
1.63403	3	3	3	1430	0.0116286
1.63603	3	2	3	1454	0.0127857
1.63603	3	2	3	1454	0.0127857
1.63603	3	2	3	1454	0.00678571
1.64003	3	3	3	1430	0.0101619
1.64203	3	2	3	1454	0.0127857
1.64203	3	2	3	1454	0.00678571
1.64203	3	2	3	1454	0.00678571
1.64703	1	1	3	1454	0.1425
1.64703	1	1	3	1454	0.1425
1.64703	1	1	3	1454	0.0907857
1.64703	1	1	3	1454	0.0837857
1.64703	1	1	3	1454	0.0837857
1.64803	3	2	3	1454	0.0127857
1.64803	3	2	3	1454	0.0127857
1.65203	3	3	3	1430	0.0146952
1.65403	3	2	3	1454	0.0127857
1.65403	3	2	3	1454	0.0127857
1.65403	3	2	3	1454	0.00678571
1.65803	3	3	3	1430	0.0132286
1.66003	3	2	3	1454	0.0127857
1.66003	3	2	3	1454	0.0127857
1.66003	3	2	3	1454	0.0127857
1.66403	3	3	3	1430	0.0117619
1.66603	3	2	3	1454	0.0127857
1.66603	3	2	3	1454	0.0127857
1.66603	3	2	3	1454	0.00678571
1.67003	3	3	3	1430	0.0102952
1.67203	3	2	3	1454	0.0127857
1.67203	3	2	3	1454	0.00678571
1.67803	3	2	3	1454	0.0127857
1.67803	3	2	3	1454	0.0127857
1.67803	3	2	3	1454	0.0127857
1.68203	3	3	3	1430	0.0148286
1.68396	3	2	3	1454	0.0127143
1.68396	3	2	3	1454	0.0127143
1.68396	3	2	3	1454	0.0127143
1.68803	3	3	3	1430	0.0133619
1.68903	3	2	3	1454	0.0117857
1.68903	3	2	3	1454	0.0117857
1.68903	3	2	3	1454	0.00578571
1.69203	1	1	3	1454	0.0345714
1.69403	1	1	3	1454	0.0365714
1.69403	3	3	3	1430	0.0118952
1.69503	1	1	3	1454	0.0375714
1.69503	3	2	3	1454	0.0117857
1.69503	3	2	3	1454	0.0117857
1.69503	3	2	3	1454	0.0117857
1.69503	3	2	3	1454	0.00678571
1.69503	3	2	3	1454	0.00678571
1.69603	1	1	3	1454	0.0385714
1.70003	3	3	3	1430	0.0104286
1.70303	3	2	3	1454	0.00878571
1.70303	3	2	3	1454	0.00878571
1.70603	3	3	3	1430	0.00896189
1.70703	1	1	3	1454	0.0495714
1.70903	3	2	3	1454	0.0147857
1.70903	3	2	3	1454	0.0147857
1.70903	3	2	3	1454	0.00878571
1.71503	3	2	3	1454	0.0147857
1.71503	3	2	3	1454	0.0147857
1.71503	3	2	3	1454	0.0147857
1.71503	3	2	3	1454	0.0147857
1.71503	3	2	3	1454	0.00678571
1.71503	3	2	3	1454	0.00678571
1.71903	3	3	3	1430	0.0144952
1.72303	1	1	3	1454	0.0207857
