time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.47039	1	4	3	70	0.00335446
1.47124	1	4	3	62	0.00321162
1.48024	3	1	3	70	0.0032116
1.48024	3	1	3	70	0.00321041
1.48024	3	1	3	70	0.00320921
1.48024	3	1	3	70	0.00320802
1.48024	3	1	3	62	0.00320684
1.48124	3	1	3	62	0.00321162
1.48124	3	1	3	62	0.00321042
1.50453	1	1	3	70	0.00849732
1.50453	1	1	3	70	0.00849612
1.50453	1	1	3	70	0.00849493
1.50453	1	1	3	70	0.00849373
1.50453	1	1	3	70	0.00849254
1.50453	1	1	3	70	0.00849134
1.50453	1	1	3	70	0.00849015
1.50624	3	1	3	70	0.0082116
1.50624	3	1	3	70	0.00821041
1.50624	3	1	3	70	0.00820921
1.50624	3	1	3	70	0.00820802
1.50624	3	1	3	70	0.00820682
1.50624	3	1	3	70	0.0072116
1.50624	3	1	3	70	0.00721041
1.51324	3	2	3	58	0.00321397
1.52624	3	1	3	78	0.00321159
1.52624	3	1	3	78	0.0032104
1.52624	3	1	3	78	0.0032092
1.52624	3	1	3	78	0.00320801
1.52624	3	1	3	70	0.00320682
1.52624	3	1	3	70	0.00228303
1.52624	3	1	3	70	0.00228184
1.52724	3	2	3	54	0.00321156
1.53324	3	2	3	54	0.00321163
1.53324	3	2	3	54	0.00320924
1.53324	3	2	3	54	0.00320685
1.54124	3	2	3	62	0.00321162
1.54124	3	2	3	62	0.00321042
1.54724	3	2	3	62	0.00321162
1.54724	3	2	3	62	0.00321042
1.55324	3	2	3	62	0.00321162
1.55324	3	2	3	62	0.00321042
1.55324	3	2	3	62	0.00320923
1.55324	3	2	3	62	0.00320803
1.55324	3	2	3	62	0.00320684
1.55324	3	2	3	70	0.00320563
1.55624	1	1	3	70	0.0152116
1.55924	3	2	3	70	0.0032116
1.55924	3	2	3	70	0.00321041
1.55924	3	2	3	70	0.00320921
1.56324	1	1	3	70	0.0202116
1.56324	1	1	3	70	0.0182116
1.56524	3	2	3	62	0.00321162
1.56524	3	2	3	62	0.00321042
1.57124	3	2	3	62	0.00321162
1.57124	3	2	3	62	0.00321042
1.57124	3	2	3	62	0.00320923
1.57124	3	2	3	62	0.00320803
1.57124	3	2	3	62	0.00320684
1.57124	3	2	3	70	0.00320563
1.57724	3	2	3	70	0.0032116
1.57724	3	2	3	78	0.0032104
1.58524	3	2	3	78	0.00321159
1.58524	3	2	3	78	0.0032104
1.59124	3	2	3	78	0.00321159
1.59124	3	2	3	78	0.0032104
1.59124	3	2	3	70	0.00320921
1.59724	3	2	3	70	0.0032116
1.59724	3	2	3	70	0.00321041
1.59724	3	2	3	70	0.00320921
1.59724	3	2	3	62	0.00320803
1.59724	3	2	3	70	0.00320682
1.59724	3	2	3	70	0.00320563
1.60524	3	2	3	70	0.0032116
1.60524	3	2	3	70	0.00321041
1.61124	3	2	3	70	0.0032116
1.61124	3	2	3	70	0.00321041
1.61124	3	2	3	70	0.00320921
1.61724	3	2	3	70	0.0032116
1.61724	3	2	3	62	0.00321042
1.61724	3	2	3	54	0.00320924
1.62324	3	2	3	54	0.00321044
1.62924	3	2	3	54	0.00321163
1.63524	3	2	3	54	0.00321163
1.63524	3	2	3	54	0.00320924
1.64124	3	2	3	54	0.00321044
1.64724	3	2	3	54	0.00321163
1.64724	3	2	3	54	0.00320924
1.65324	3	2	3	54	0.00321044
1.65746	1	1	3	78	0.00842588
1.65746	1	1	3	78	0.00842468
1.65746	1	1	3	78	0.00842349
1.65746	1	1	3	78	0.00842229
1.65746	1	1	3	78	0.0084211
1.65924	3	2	3	54	0.00321044
