time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.4106	1	1	3	504	0.00252857
1.41103	1	4	3	545	0.00295714
1.41196	1	1	3	692	0.00788571
1.41903	1	1	3	692	0.0129571
1.42203	3	1	3	736	0.00295714
1.42403	1	4	3	106	0.00295714
1.42803	3	1	3	7701	0.00295714
1.42903	3	1	3	1813	0.00295714
1.43003	1	4	3	1396	0.00295714
1.43103	1	1	3	1352	0.00795714
1.4316	1	4	3	692	0.00252857
1.43303	1	4	3	692	0.00295714
1.43396	1	4	3	1278	0.00288571
1.43403	1	1	3	106	0.0129571
1.43503	1	4	3	692	0.00295714
1.43603	1	4	3	1278	0.00295714
1.43703	1	4	3	1396	0.00295714
1.43903	1	4	3	1396	0.00295714
1.4396	1	4	3	692	0.00252857
1.44089	1	4	3	1161	0.00281428
1.44203	1	4	3	891	0.00295714
1.44203	3	1	3	531	0.00295714
1.44603	3	1	3	1962	0.00295714
1.45003	3	1	3	7701	0.00795714
1.45303	1	4	3	106	0.00295714
1.45903	1	4	3	1396	0.00295714
1.46003	1	4	3	1396	0.00295714
1.46103	1	4	3	1396	0.00295714
1.46203	1	4	3	1396	0.00295714
1.46303	1	4	3	1396	0.00295714
1.46403	1	4	3	1396	0.00295714
1.46503	1	4	3	1396	0.00295714
1.46603	1	4	3	330	0.00295714
1.46903	3	1	3	736	0.00795714
1.47503	3	1	3	7701	0.00295714
1.47603	3	1	3	1757	0.00295714
1.49003	3	1	3	633	0.00295714
1.49603	3	1	3	7701	0.00295714
1.49703	3	1	3	1860	0.00295714
1.50803	3	2	3	60	0.00295714
1.51503	3	1	3	633	0.00295714
1.52103	3	1	3	7701	0.00295714
1.52196	3	1	3	1860	0.00288571
1.52203	3	2	3	4022	0.00295714
1.52303	1	1	3	106	0.0129571
1.52803	3	2	3	6225	0.00295714
1.53603	3	2	3	2912	0.00295714
1.53903	1	1	3	1396	0.0129571
1.54003	1	1	3	1396	0.0129571
1.54103	1	1	3	1396	0.0129571
1.54203	3	2	3	4022	0.00295714
1.54303	1	1	3	1396	0.0139571
1.54703	1	1	3	1278	0.0129571
1.54803	3	2	3	8052	0.00295714
1.55403	1	1	3	1396	0.0129571
1.55403	3	2	3	4022	0.00295714
1.55503	1	1	3	448	0.0129571
1.56003	3	2	3	4022	0.00295714
1.56603	3	2	3	8052	0.00295714
1.57003	1	1	3	106	0.00795714
1.57203	3	2	3	2407	0.00295714
1.57903	1	1	3	82	0.00295714
1.58003	3	2	3	4022	0.00295714
1.58603	1	1	3	1396	0.0129571
1.58603	3	2	3	4022	0.00295714
1.58703	1	1	3	1396	0.0129571
1.58903	1	1	3	1396	0.0139571
