Time	CellId	RNTI	BWPId	SINR(dB)
0.0650714	1	5	0	-16.7263
0.0650714	1	6	0	-24.245
0.0650714	3	1	0	-11.1375
0.0650714	3	2	0	10.8812
0.0650714	3	3	0	-3.21638
0.0650714	3	4	0	-8.31533
0.0700714	1	1	0	-17.4199
0.0700714	1	2	0	-12.1167
0.0700714	1	3	0	-20.7384
0.0700714	1	4	0	-15.7496
0.0700714	1	5	0	-16.6795
0.0700714	1	6	0	-24.2853
0.0700714	3	1	0	-11.1986
0.0700714	3	2	0	10.9393
0.0700714	3	3	0	-3.24208
0.0700714	3	4	0	-8.25378
0.0750714	1	1	0	-17.3763
0.0750714	1	2	0	-12.0429
0.0750714	1	3	0	-20.8482
0.0750714	1	4	0	-15.7633
0.0750714	1	5	0	-16.7109
0.0750714	1	6	0	-24.3256
0.0750714	3	1	0	-11.2052
0.0750714	3	2	0	10.863
0.0750714	3	3	0	-3.21695
0.0750714	3	4	0	-8.22901
0.0780714	1	1	0	-17.3701
0.0780714	1	2	0	-12.0958
0.0780714	1	3	0	-7.66475
0.0780714	1	4	0	-15.3245
0.0780714	1	5	0	-16.6162
0.0780714	1	6	0	-24.2617
0.0800714	1	1	0	-17.331
0.0800714	1	2	0	-12.0632
0.0800714	1	3	0	-20.8133
0.0800714	1	4	0	-15.7362
0.0800714	1	5	0	-16.6107
0.0800714	1	6	0	-24.3122
0.0800714	3	1	0	-11.1748
0.0800714	3	2	0	10.8707
0.0800714	3	3	0	-3.23913
0.0800714	3	4	0	-8.28977
0.0810714	3	1	0	-11.1416
0.0810714	3	2	0	10.8702
0.0810714	3	3	0	-3.2273
0.0810714	3	4	0	-8.21336
0.0850714	1	1	0	-17.4202
0.0850714	1	2	0	-12.1641
0.0850714	1	3	0	-20.7887
0.0850714	1	4	0	-15.8168
0.0850714	1	5	0	-16.6023
0.0850714	1	6	0	-24.397
0.0850714	3	1	0	-11.157
0.0850714	3	2	0	10.9059
0.0850714	3	3	0	-3.16638
0.0850714	3	4	0	-8.10516
0.0900714	1	1	0	-17.4284
0.0900714	1	2	0	-12.053
0.0900714	1	3	0	-20.8563
0.0900714	1	4	0	-15.7725
0.0900714	1	5	0	-16.8525
0.0900714	1	6	0	-24.4669
0.0900714	3	1	0	-11.2024
0.0900714	3	2	0	10.8372
0.0900714	3	3	0	-3.12337
0.0900714	3	4	0	-8.06538
0.0940714	1	1	0	-17.3991
0.0940714	1	2	0	-12.1021
0.0940714	1	3	0	-20.8622
0.0940714	1	4	0	-15.7406
0.0940714	1	5	0	-16.8663
0.0940714	1	6	0	-24.3561
0.0940714	3	1	0	-11.2161
0.0940714	3	2	0	10.8123
0.0940714	3	3	0	-3.11943
0.0940714	3	4	0	-7.87254
0.0950714	1	1	0	-17.3857
0.0950714	1	2	0	-12.1142
0.0950714	1	3	0	-20.8492
0.0950714	1	4	0	-15.7318
0.0950714	1	5	0	-16.9008
0.0950714	1	6	0	-24.4082
0.0950714	3	1	0	-11.2371
0.0950714	3	2	0	10.7873
0.0950714	3	3	0	-3.11493
0.0950714	3	4	0	-7.8588
0.100071	1	1	0	-17.2619
0.100071	1	2	0	-12.0872
0.100071	1	3	0	-20.7363
0.100071	1	4	0	-15.7451
0.100071	1	5	0	-17.0221
0.100071	1	6	0	-24.4127
0.100071	3	1	0	-11.1782
0.100071	3	2	0	10.7354
0.100071	3	3	0	-3.08917
0.100071	3	4	0	-7.78588
0.105071	1	1	0	-17.2339
0.105071	1	2	0	-12.0951
0.105071	1	3	0	-20.7386
0.105071	1	4	0	-15.8882
0.105071	1	5	0	-17.1136
0.105071	1	6	0	-24.344
0.105071	3	1	0	-11.1634
0.105071	3	2	0	10.7873
0.105071	3	3	0	-3.07519
0.105071	3	4	0	-7.61024
0.110071	1	1	0	-17.1209
0.110071	1	2	0	-12.0701
0.110071	1	3	0	-20.8514
0.110071	1	4	0	-15.9593
0.110071	1	5	0	-17.2316
0.110071	1	6	0	-24.3516
0.110071	3	1	0	-11.1979
0.110071	3	2	0	10.6837
0.110071	3	3	0	-3.06985
0.110071	3	4	0	-7.51232
0.114071	1	1	0	-17.0688
0.114071	1	2	0	-12.0765
0.114071	1	3	0	-7.73162
0.114071	1	4	0	-15.4387
0.114071	1	5	0	-17.3517
0.114071	1	6	0	-24.3878
0.115071	1	1	0	-17.0622
0.115071	1	2	0	-12.0047
0.115071	1	3	0	-20.8994
0.115071	1	4	0	-15.8582
0.115071	1	5	0	-17.3794
0.115071	1	6	0	-24.4301
0.115071	3	1	0	-11.2203
0.115071	3	2	0	10.6473
0.115071	3	3	0	-3.1072
0.115071	3	4	0	-7.35529
0.120071	1	1	0	-17.0807
0.120071	1	2	0	-11.9568
0.120071	1	3	0	-20.8709
0.120071	1	4	0	-15.9185
0.120071	1	5	0	-17.5819
0.120071	1	6	0	-24.4016
0.120071	3	1	0	-11.1856
0.120071	3	2	0	10.6349
0.120071	3	3	0	-3.08678
0.120071	3	4	0	-7.21212
0.122071	3	1	0	-11.1045
0.122071	3	2	0	10.6776
0.122071	3	3	0	-3.02441
0.122071	3	4	0	-7.16455
0.125071	1	1	0	-16.9849
0.125071	1	2	0	-12.0179
0.125071	1	3	0	-20.8883
0.125071	1	4	0	-16.0389
0.125071	1	5	0	-17.7724
0.125071	1	6	0	-24.5307
0.125071	3	1	0	-11.2048
0.125071	3	2	0	10.6953
0.125071	3	3	0	-3.08549
0.125071	3	4	0	-7.15224
0.126071	3	1	0	-11.1579
0.126071	3	2	0	10.7005
0.126071	3	3	0	-3.07881
0.126071	3	4	0	-7.20022
0.129071	1	1	0	-16.8882
0.129071	1	2	0	-12.0014
0.129071	1	3	0	-7.88634
0.129071	1	4	0	-15.6001
0.129071	1	5	0	-17.9516
0.129071	1	6	0	-24.5186
0.130071	1	1	0	-16.8388
0.130071	1	2	0	-12.0215
0.130071	1	3	0	-20.9753
0.130071	1	4	0	-16.0864
0.130071	1	5	0	-17.9928
0.130071	1	6	0	-24.5453
0.130071	3	1	0	-11.2387
0.130071	3	2	0	10.7378
0.130071	3	3	0	-3.02849
0.130071	3	4	0	-7.19663
0.135071	1	1	0	-16.9148
0.135071	1	2	0	-11.8758
0.135071	1	3	0	-20.9126
0.135071	1	4	0	-16.1351
0.135071	1	5	0	-18.183
0.135071	1	6	0	-24.6417
0.135071	3	1	0	-11.3798
0.135071	3	2	0	10.6912
0.135071	3	3	0	-3.06661
0.135071	3	4	0	-7.13578
0.140071	1	1	0	-16.9387
0.140071	1	2	0	-11.8362
0.140071	1	3	0	-21.0757
0.140071	1	4	0	-16.0945
0.140071	1	5	0	-18.3367
0.140071	1	6	0	-24.4657
0.140071	3	1	0	-11.4284
0.140071	3	2	0	10.7545
0.140071	3	3	0	-2.96746
0.140071	3	4	0	-7.1107
0.145071	1	1	0	-16.9435
0.145071	1	2	0	-11.9065
0.145071	1	3	0	-21.1682
0.145071	1	4	0	-16.1783
0.145071	1	5	0	-18.5175
0.145071	1	6	0	-24.5836
0.145071	3	1	0	-11.4785
0.145071	3	2	0	10.7353
0.145071	3	3	0	-2.87055
0.145071	3	4	0	-7.02844
0.150071	1	1	0	-16.9039
0.150071	1	2	0	-11.8604
0.150071	1	3	0	-21.1237
0.150071	1	4	0	-16.1905
0.150071	1	5	0	-18.6104
0.150071	1	6	0	-24.5824
0.150071	3	1	0	-11.498
0.150071	3	2	0	10.6425
0.150071	3	3	0	-2.8867
0.150071	3	4	0	-7.07558
0.155071	1	1	0	-16.8635
0.155071	1	2	0	-11.8934
0.155071	1	3	0	-21.0918
0.155071	1	4	0	-16.2474
0.155071	1	5	0	-18.8169
0.155071	1	6	0	-24.4786
0.155071	3	1	0	-11.4407
0.155071	3	2	0	10.6945
0.155071	3	3	0	-2.90409
0.155071	3	4	0	-7.07332
0.158071	1	1	0	-16.8205
0.158071	1	2	0	-11.9234
0.158071	1	3	0	-8.19309
0.158071	1	4	0	-15.7794
0.158071	1	5	0	-18.8755
0.158071	1	6	0	-24.5014
0.160071	1	1	0	-16.7814
0.160071	1	2	0	-11.9014
0.160071	1	3	0	-21.1896
0.160071	1	4	0	-16.2801
0.160071	1	5	0	-18.9977
0.160071	1	6	0	-24.4653
0.160071	3	1	0	-11.487
0.160071	3	2	0	10.754
0.160071	3	3	0	-2.94707
0.160071	3	4	0	-7.08449
0.161071	3	1	0	-11.387
0.161071	3	2	0	10.7769
0.161071	3	3	0	-2.94515
0.161071	3	4	0	-7.07501
0.165071	1	1	0	-16.7596
0.165071	1	2	0	-11.9232
0.165071	1	3	0	-21.3385
0.165071	1	4	0	-16.3119
0.165071	1	5	0	-18.9559
0.165071	1	6	0	-24.3253
0.165071	3	1	0	-11.4813
0.165071	3	2	0	10.8047
0.165071	3	3	0	-3.08449
0.165071	3	4	0	-7.01855
0.170071	1	1	0	-16.7345
0.170071	1	2	0	-11.9145
0.170071	1	3	0	-21.4543
0.170071	1	4	0	-16.2646
0.170071	1	5	0	-19.1123
0.170071	1	6	0	-24.3207
0.170071	3	1	0	-11.4302
0.170071	3	2	0	10.8578
0.170071	3	3	0	-3.0102
0.170071	3	4	0	-7.00463
0.174071	1	1	0	-16.7827
0.174071	1	2	0	-11.8642
0.174071	1	3	0	-21.6364
0.174071	1	4	0	-16.3103
0.174071	1	5	0	-19.172
0.174071	1	6	0	-24.3124
0.174071	3	1	0	-11.4203
0.174071	3	2	0	10.8987
0.174071	3	3	0	-3.06385
0.174071	3	4	0	-7.07905
0.175071	1	1	0	-16.8246
0.175071	1	2	0	-11.8706
0.175071	1	3	0	-21.6351
0.175071	1	4	0	-16.2874
0.175071	1	5	0	-19.1688
0.175071	1	6	0	-24.3086
0.175071	3	1	0	-11.4626
0.175071	3	2	0	10.8969
0.175071	3	3	0	-3.05472
0.175071	3	4	0	-7.06697
0.180071	1	1	0	-16.8651
0.180071	1	2	0	-11.8522
0.180071	1	3	0	-21.6414
0.180071	1	4	0	-16.348
0.180071	1	5	0	-19.0723
0.180071	1	6	0	-24.287
0.180071	3	1	0	-11.5309
0.180071	3	2	0	10.8523
0.180071	3	3	0	-3.18033
0.180071	3	4	0	-7.05815
0.185071	1	1	0	-16.7591
0.185071	1	2	0	-11.9558
0.185071	1	3	0	-21.5858
0.185071	1	4	0	-16.3461
0.185071	1	5	0	-18.9378
0.185071	1	6	0	-24.2395
0.185071	3	1	0	-11.6067
0.185071	3	2	0	10.8616
0.185071	3	3	0	-3.17103
0.185071	3	4	0	-7.1185
0.190071	1	1	0	-16.7323
0.190071	1	2	0	-11.9494
0.190071	1	3	0	-21.6249
0.190071	1	4	0	-16.3226
0.190071	1	5	0	-18.7873
0.190071	1	6	0	-24.238
0.190071	3	1	0	-11.595
0.190071	3	2	0	10.9254
0.190071	3	3	0	-3.23923
0.190071	3	4	0	-7.00149
0.194071	1	1	0	-16.7742
0.194071	1	2	0	-11.9488
0.194071	1	3	0	-8.59222
