time(s)	cellId	rnti	lcid	packetSize
1.60307	3	2	3	4022
1.60907	3	2	3	4022
1.61307	3	3	3	106
1.61507	3	2	3	4022
1.61907	3	3	3	2155
1.62107	3	2	3	4022
1.62507	3	3	3	1073
1.62707	3	2	3	4022
1.63107	3	3	3	1073
1.63307	3	2	3	4022
1.63707	3	3	3	1329
1.63907	3	2	3	4022
1.64307	3	3	3	1073
1.64507	3	2	3	4022
1.64907	3	3	3	1073
1.65107	3	2	3	4022
1.65507	3	3	3	1073
1.65707	3	2	3	4022
1.66107	3	3	3	2155
1.66307	1	1	3	106
1.66307	3	2	3	4022
1.66707	3	3	3	362
1.66907	3	2	3	4022
1.67307	3	3	3	1073
1.67507	3	2	3	4022
1.67907	1	1	3	1396
1.67907	3	3	3	1073
1.68007	1	1	3	1396
1.68107	1	1	3	1396
1.68107	3	2	3	4022
1.68207	1	1	3	1396
1.68307	1	1	3	1396
1.68507	3	3	3	1073
1.68607	3	2	3	4022
1.69107	3	3	3	2155
1.69207	3	2	3	7006
1.69407	1	1	3	206
1.69707	3	3	3	1073
1.70007	3	2	3	4022
1.70307	3	3	3	723
1.70607	3	2	3	4022
1.70807	1	1	3	106
1.70907	1	1	3	1396
1.71007	1	1	3	1396
1.71007	3	3	3	1073
1.71107	1	1	3	1396
1.71207	1	1	3	1396
1.71207	3	2	3	7972
1.71307	1	5	3	106
1.71407	1	1	3	144
1.71607	3	3	3	1073
1.72007	3	2	3	4022
1.72207	1	1	3	1396
1.72307	3	3	3	1073
1.72407	1	5	3	106
1.72507	1	5	3	1396
1.72607	1	1	3	62
1.72607	1	5	3	1278
1.72607	3	2	3	4022
1.72807	1	5	3	106
1.72907	1	5	3	575
1.72907	3	3	3	2155
1.73107	3	2	3	7972
1.73507	1	5	3	1278
1.73507	3	3	3	1073
1.73607	1	5	3	897
1.73807	1	5	3	1396
1.73907	1	5	3	38
1.73907	3	2	3	2912
1.74107	3	3	3	723
1.74507	3	2	3	4022
1.74607	1	5	3	106
1.74707	3	3	3	1073
1.74907	1	1	3	106
1.75007	1	5	3	106
1.75107	3	2	3	8052
1.75207	1	5	3	1224
1.75307	1	5	3	106
1.75307	3	3	3	1073
1.75707	3	2	3	4022
1.75907	1	5	3	106
1.75907	3	3	3	956
1.76007	1	5	3	1396
1.76107	1	5	3	106
1.76307	1	5	3	1158
1.76307	3	2	3	4022
1.76507	3	3	3	2155
1.76607	1	1	3	1278
1.76707	1	1	3	76
1.76907	1	5	3	340
1.76907	3	2	3	8052
1.77107	3	3	3	479
1.77307	1	5	3	106
1.77507	1	5	3	1396
1.77507	3	2	3	951
1.77607	1	5	3	1028
1.77707	3	3	3	1073
1.78307	3	2	3	4022
1.78307	3	3	3	1073
1.78807	1	5	3	106
1.78807	3	2	3	7625
1.78907	3	3	3	1073
1.79007	1	5	3	1396
1.79107	1	5	3	106
1.79507	3	3	3	2155
1.79607	3	2	3	1456
1.79907	1	5	3	1396
1.80007	1	5	3	106
1.80107	1	5	3	1196
1.80107	3	3	3	362
1.80207	3	2	3	4022
1.80507	1	6	3	60
1.80707	3	2	3	7625
1.80807	3	3	3	1073
1.81007	1	5	3	106
1.81107	1	5	3	1328
1.81207	1	5	3	1396
1.81307	1	5	3	38
1.81407	3	3	3	956
1.81507	3	2	3	2912
1.82007	1	5	3	106
1.82007	3	3	3	1073
1.82107	3	2	3	4022
1.82607	1	5	3	106
1.82607	3	3	3	2155
1.82707	3	2	3	7625
1.83207	1	5	3	1396
1.83207	3	3	3	1073
1.83307	1	5	3	106
1.83507	3	2	3	2912
1.83607	1	1	3	106
1.83807	3	3	3	840
1.83907	1	5	3	1396
1.84007	1	5	3	1196
1.84107	3	2	3	4022
1.84307	1	5	3	1396
1.84407	3	3	3	1073
1.84607	3	2	3	8052
1.84707	1	5	3	38
1.85007	1	5	3	106
1.85007	3	3	3	1073
1.85107	1	1	3	1278
1.85107	1	5	3	106
1.85207	1	1	3	1278
1.85207	3	2	3	3941
1.85307	1	1	3	1278
1.85307	1	5	3	106
1.85407	1	1	3	1278
1.85507	1	1	3	616
1.85607	3	3	3	956
1.85707	1	5	3	106
1.85907	1	5	3	106
1.86007	1	5	3	106
1.86007	3	2	3	4022
1.86107	1	5	3	692
1.86207	3	3	3	2155
1.86307	1	5	3	106
1.86607	3	2	3	7625
1.86707	1	5	3	1396
1.86807	3	3	3	479
1.86907	1	5	3	1396
1.87007	1	5	3	90
1.87307	1	5	3	1396
1.87407	3	2	3	2912
1.87407	3	3	3	1073
1.87707	1	5	3	38
1.88007	1	5	3	106
1.88007	3	2	3	4022
1.88007	3	3	3	1073
1.88107	1	5	3	106
1.88207	1	1	3	106
1.88307	1	5	3	106
1.88507	3	2	3	8052
1.88607	3	3	3	956
1.88707	1	5	3	106
1.88907	1	5	3	1278
1.89007	1	5	3	1172
1.89107	3	2	3	3941
1.89107	3	3	3	1200
1.89307	1	1	3	692
1.89407	1	1	3	106
1.89707	3	3	3	956
1.89907	1	5	3	1278
1.89907	3	2	3	4022
1.90007	1	5	3	106
1.90107	1	1	3	692
1.90107	1	5	3	52
1.90207	1	1	3	692
1.90207	1	5	3	692
1.90307	1	5	3	692
1.90307	3	3	3	1073
1.90507	1	1	3	1278
1.90507	3	2	3	6169
1.90807	1	1	3	692
1.90907	1	1	3	1278
1.90907	1	5	3	106
1.90907	3	3	3	1073
1.91007	1	5	3	106
1.91107	1	5	3	106
1.91207	1	5	3	106
1.91307	3	2	3	4022
1.91507	1	1	3	304
1.91507	3	3	3	2155
1.91807	1	5	3	106
1.91907	1	5	3	106
1.91907	3	2	3	4022
1.92007	1	5	3	223
1.92107	1	5	3	927
1.92107	3	3	3	1073
1.92207	1	5	3	575
1.92507	3	2	3	4022
1.92607	3	3	3	840
1.92807	1	5	3	1396
1.92907	1	5	3	611
1.93007	1	1	3	106
1.93107	3	2	3	4022
1.93207	1	1	3	692
1.93207	1	5	3	692
1.93407	1	1	3	458
1.93407	3	3	3	1073
1.93707	3	2	3	4022
1.93807	1	1	3	927
1.93807	1	5	3	106
1.93907	1	5	3	927
1.93907	3	3	3	1073
1.94007	1	5	3	1044
1.94207	1	5	3	103
1.94307	3	2	3	4022
1.94507	1	1	3	340
1.94507	3	3	3	1073
1.94607	1	1	3	809
1.94807	1	1	3	1048
1.94907	1	1	3	1396
1.94907	3	2	3	4022
1.95107	3	3	3	1920
1.95207	1	1	3	62
1.95207	1	5	3	106
1.95507	3	2	3	4022
1.95607	1	5	3	575
1.95707	3	3	3	597
1.95807	1	5	3	927
1.96107	3	2	3	4022
1.96207	1	5	3	106
1.96407	1	5	3	1278
1.96407	3	3	3	1073
1.96507	1	5	3	1314
1.96607	1	1	3	106
1.96707	3	2	3	4022
1.96807	1	1	3	692
1.97207	1	1	3	662
1.97207	1	5	3	692
