file,node,event,time,rate,mac_type,retry,length,src_ip,dst_ip,ip_id,l4,src_port,dst_port
5g_playfield_ascii_traces-4-1.tr,4,r,6.30053,OfdmRate24Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30075,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30091,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,t,6.3011,OfdmRate6Mbps,MGT_ACTION,0.0,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.3016,OfdmRate6Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30195,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.30256,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30291,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.30347,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30386,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.30444,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30476,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.30533,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30566,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.30627,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30666,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.30727,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30764,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.30826,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30859,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.3092,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.30951,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.31012,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.3105,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.31106,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.31138,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.31187,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.31228,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.31281,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.31315,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.31372,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.31408,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.31465,OfdmRate12Mbps,CTL_ACK,,,,,,,,
5g_playfield_ascii_traces-4-1.tr,4,r,6.31503,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.6,10.0.0.1,4.0,UDP,49153.0,7005.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40006,OfdmRate54Mbps,QOSDATA,0.0,178.0,10.0.0.7,10.0.0.1,4.0,UDP,49153.0,7006.0
5g_playfield_ascii_traces-4-1.tr,4,r,6.40061,OfdmRate12Mbps,CTL_ACK,,,,,,,,
