rate,frames
OfdmRate54Mbps,5105
OfdmRate6Mbps,2997
OfdmRate24Mbps,1380
OfdmRate18Mbps,1276
OfdmRate9Mbps,1180
OfdmRate48Mbps,1097
OfdmRate12Mbps,1090
OfdmRate36Mbps,903
